generation,CornerStrategy,NearCornerStrategy,EdgeStrategy,NearEdgeStrategy,HighestTurnoverStrategy,PreventOpponentTurnStrategy,CaptureLastTurnStrategy,DecisiveWinStrategy,IncreaseMobilityStrategy,DecreaseOpponentMobilityStrategy,RandomizationStrategy,wins,loses,ratio
1,0.895040514058858,-0.16103702775201634,0.8133889580469775,-0.3174657008560746,-0.8783701196333578,-0.46473408870794364,-0.058844600319955864,-0.03582704358554367,-0.5875441349263018,0.8654136321093748,0.11659171016839642,17,3,5.666666666666667
2,0.9116737728920561,-0.0713678945762739,0.15887332108907737,0.35118609245146204,0.6449098560559123,0.602682054193509,0.5964862612755613,0.39985660796081346,0.9020856483327593,0.41480484195094935,-0.959713462263073,17,1,17.0
3,0.9116737728920561,-0.15764084099843295,0.15887332108907737,0.35118609245146204,0.6449098560559123,0.602682054193509,0.5964862612755613,0.39985660796081346,0.9020856483327593,0.41480484195094935,-0.959713462263073,19,1,19.0
4,0.9116737728920561,-0.15764084099843295,0.15887332108907737,0.392000742845094,0.6449098560559123,0.602682054193509,0.5964862612755613,0.39985660796081346,0.9020856483327593,0.41480484195094935,-0.959713462263073,18,2,9.0
5,0.9116737728920561,-0.0713678945762739,0.15887332108907737,0.35118609245146204,0.6449098560559123,0.602682054193509,0.5964862612755613,0.39985660796081346,0.9020856483327593,0.41480484195094935,-0.959713462263073,18,2,9.0
6,0.28438661150350447,-0.9686317695008961,-0.46011041738028635,0.17576043755718196,0.41010209696313715,0.4574406328332895,-0.5011478451248799,-0.20917559566645655,-0.3873694207489746,-0.7072502246937102,-0.13844766212758006,18,2,9.0
7,0.9116737728920561,-0.0713678945762739,0.15887332108907737,0.35118609245146204,0.6449098560559123,0.602682054193509,0.5964862612755613,0.39985660796081346,0.9020856483327593,0.41480484195094935,-0.959713462263073,17,3,5.666666666666667
8,0.3071214445669712,-0.8811519640747678,-0.49036698554986047,0.21163005902875476,0.4125973022764142,0.481170508447464,-0.39131062872619826,-0.1970959938767185,-0.4414557364876439,-0.8473598755973493,-0.26125086181204127,15,3,5.0
9,0.9388554927360522,-0.0951493428857296,0.2163192855603586,0.35511315390996717,0.5480117528171375,0.6817552114599792,0.6817649246092989,0.41776593592883177,0.9050003870863617,0.5084365020246191,-0.9290635020563373,15,5,3.0
10,0.9240409301209269,-0.12189099796870517,0.11096484735426901,0.3572383566417864,0.6204227883534515,0.6530974827388919,0.6619034023651167,0.4810673186679656,0.8883896262129136,0.40990050572079645,-0.950666060941717,14,6,2.3333333333333335
11,0.3071214445669712,-0.8811519640747678,-0.4352234065239722,0.21163005902875476,0.4125973022764142,0.481170508447464,-0.39131062872619826,-0.1970959938767185,-0.4414557364876439,-0.8473598755973493,-0.26125086181204127,14,6,2.3333333333333335
12,0.2143029002127264,-0.9448288304810146,-0.40336775941301695,0.26467594368218583,0.46045770469895236,0.5006691965698619,-0.3069898058045614,-0.0999750759917736,-0.4346451472881505,-0.8118382787501081,-0.3318535255352267,15,4,3.75
13,0.9240409301209269,-0.12189099796870517,0.11096484735426901,0.3572383566417864,0.6204227883534515,0.6530974827388919,0.6619034023651167,0.4810673186679656,0.8883896262129136,0.40990050572079645,-0.950666060941717,15,4,3.75
14,0.22358020265762224,-1.0381635033772223,-0.3293800664989859,0.24803533639868736,0.47171355620686606,0.4189574606347967,-0.34767503012674295,-0.019658277681582015,-0.3618846353563055,-0.7519089650111639,-0.3380404363593253,14,4,3.5
15,0.8536564994822371,-0.2920881925799623,0.09975307122659134,0.3020808431029812,0.6916012529386962,0.6713487516000775,0.7796163301564192,0.4511530844435525,0.9035683988730862,0.3308272659851852,-0.8997263047665239,15,5,3.0
16,0.3071214445669712,-0.8811519640747678,-0.4352234065239722,0.21163005902875476,0.4125973022764142,0.481170508447464,-0.39131062872619826,-0.1970959938767185,-0.4414557364876439,-0.8473598755973493,-0.26125086181204127,19,1,19.0
17,0.3071214445669712,-0.8811519640747678,-0.4352234065239722,0.21163005902875476,0.4125973022764142,0.481170508447464,-0.39131062872619826,-0.1970959938767185,-0.4414557364876439,-0.8473598755973493,-0.26125086181204127,16,3,5.333333333333333
18,0.3071214445669712,-0.8811519640747678,-0.4352234065239722,0.21163005902875476,0.4125973022764142,0.481170508447464,-0.39131062872619826,-0.1970959938767185,-0.4414557364876439,-0.8473598755973493,-0.26125086181204127,14,6,2.3333333333333335
19,0.8536564994822371,-0.2920881925799623,0.09975307122659134,0.3020808431029812,0.6916012529386962,0.6713487516000775,0.7796163301564192,0.4511530844435525,0.9035683988730862,0.3308272659851852,-0.8997263047665239,15,5,3.0
20,0.3071214445669712,-0.8811519640747678,-0.4352234065239722,0.21163005902875476,0.4125973022764142,0.481170508447464,-0.39131062872619826,-0.1970959938767185,-0.4414557364876439,-0.8473598755973493,-0.26125086181204127,14,6,2.3333333333333335
21,0.6460778782089827,-0.8956038276513438,0.5726442994994929,-0.38778153211905675,-0.9093429725214437,-0.5121111245782808,-0.3668397312963456,0.8136861279139773,0.32036592192324775,0.4296485588258607,0.4371186114364256,16,4,4.0
22,0.8242602488479933,-0.10481528258192511,0.030939615784308733,0.3472858957179284,0.5406646859632336,0.6606799759466124,0.7496736154770558,0.4319944676651986,0.9191310652932229,0.5159914956769878,-0.8157195233155818,14,6,2.3333333333333335
23,0.3071214445669712,-0.8811519640747678,-0.4352234065239722,0.21163005902875476,0.4125973022764142,0.481170508447464,-0.39131062872619826,-0.1970959938767185,-0.4414557364876439,-0.8473598755973493,-0.26125086181204127,14,6,2.3333333333333335
24,0.8090968825099092,-0.8769178338498969,-0.20001302225507556,0.8367941300957762,0.6860752018791281,0.05356609453438699,-0.7164794910498744,0.40220069763195654,-0.30718102935870095,0.7395722524752519,0.9961767110007742,17,3,5.666666666666667
25,0.8090968825099092,-0.8769178338498969,-0.1907973478398643,0.8367941300957762,0.6860752018791281,0.05356609453438699,-0.7164794910498744,0.40220069763195654,-0.30718102935870095,0.7395722524752519,0.9961767110007742,17,3,5.666666666666667
26,0.8090968825099092,-0.8769178338498969,-0.1907973478398643,0.8367941300957762,0.6860752018791281,0.05356609453438699,-0.7164794910498744,0.40220069763195654,-0.30718102935870095,0.7395722524752519,0.9961767110007742,15,5,3.0
27,0.8090968825099092,-0.8769178338498969,-0.20001302225507556,0.8367941300957762,0.6860752018791281,0.05356609453438699,-0.7164794910498744,0.40220069763195654,-0.30718102935870095,0.7395722524752519,0.9961767110007742,16,3,5.333333333333333
28,0.8090968825099092,-0.8769178338498969,-0.20001302225507556,0.8367941300957762,0.6860752018791281,0.05356609453438699,-0.7164794910498744,0.40220069763195654,-0.30718102935870095,0.7395722524752519,0.9961767110007742,17,2,8.5
29,0.8090968825099092,-0.8769178338498969,-0.1907973478398643,0.8367941300957762,0.6860752018791281,0.05356609453438699,-0.7164794910498744,0.40220069763195654,-0.30718102935870095,0.7395722524752519,0.9961767110007742,15,3,5.0
30,0.8090968825099092,-0.8769178338498969,-0.20001302225507556,0.8367941300957762,0.6860752018791281,0.05356609453438699,-0.7164794910498744,0.40220069763195654,-0.30718102935870095,0.7395722524752519,0.9961767110007742,15,3,5.0
31,0.8090968825099092,-0.8769178338498969,-0.1907973478398643,0.8367941300957762,0.6860752018791281,0.05356609453438699,-0.7164794910498744,0.40220069763195654,-0.30718102935870095,0.7395722524752519,0.9961767110007742,15,5,3.0
